Folder,Content Size,Num Files,Num Before 2017
Budget,59904,1,0
CFAC Qualtrics Surveys,402459,6,0
CFAC Students,335021,1,0
CFAC Website,170422884,363,354
College Branding,16478513,77,71
Dance Video Interviews,10228600851,7,0
Employee Lists,122409,2,0
Faith + Works Lecture Series,5956081,2,0
Graphics,622442836,98,0
Inspired Experiential Learning,300869801,94,0
Master Password Sheet - Updated June 2018.xlsx.sb-122d174f-c18ala,169998,1,0
Newsletters,70111149,9,0
Photo,559631946321,33778,13711
Projects,819104743778,668,1
Published Articles,1086561132,590,2
Social Media,39788653,29,0
Websites,1567817331,33,4
_ARCHIVE,828313430461,61642,60896
